term,cluster
de,2
y,2
la,5
en,2
el,5
que,3
a,0
los,0
del,5
para,2
un,5
las,0
con,2
se,2
una,3
por,3
no,3
al,5
como,5
es,3
su,5
o,2
chile,3
mas,0
desarrollo,4
sistema,4
esta,3
estado,5
lo,3
sin,3
e,4
nacional,4
este,5
sus,0
inversion,4
entre,2
proyectos,1
social,5
empresas,0
infraestructura,1
publico,4
pais,5
salud,1
gestion,1
mercado,5
modelo,4
ser,3
recursos,0
ley,4
ha,3
fiscal,5
personas,0
solo,3
anos,0
sector,5
si,3
publica,4
sobre,2
donde,3
participacion,4
plan,4
desde,2
privada,5
mediante,1
sino,3
libertad,3
propuesta,2
millones,0
cada,3
politica,5
mayor,2
son,0
eficiencia,4
esto,3
vida,0
ministerio,4
gasto,5
acceso,1
sera,5
todos,0
crecimiento,5
plazo,3
impacto,4
judicial,2
privado,5
seguridad,4
innovacion,4
poder,5
transparencia,2
trabajo,5
proponemos,5
ni,3
calidad,1
servicios,1
publicos,1
publicas,1
capacidad,4
pero,3
otros,2
educacion,1
uso,1
concesiones,4
financiamiento,1
actual,5
autonomia,4
marco,4
propiedad,5
puede,3
procesos,1
costos,2
economico,5
incentivos,1
bajo,2
estatal,4
digital,4
asi,2
porque,3
manera,3
programas,1
reduccion,1
han,0
laboral,2
creacion,4
largo,3
debe,3
estos,0
propone,5
todo,3
vivienda,0
tambien,5
nuestro,5
traves,2
estas,0
impuestos,3
evaluacion,1
derecho,0
sociedad,5
tiene,3
parte,3
gobierno,5
justicia,5
ahorro,2
fondos,1
economia,5
capital,5
reforma,4
reducir,1
hacia,5
nivel,4
ademas,2
internacionales,1
funciones,2
transporte,1
hasta,2
minero,4
implementacion,4
medidas,5
pobreza,0
nueva,4
libre,5
ciudadanos,0
c,4
toda,5
puedan,0
mecanismos,1
servicio,5
cultura,5
politicas,0
plataforma,4
ano,3
administracion,2
mineras,2
energia,4
ingresos,0
nuevos,1
base,5
hoy,3
humano,5
contratos,2
control,4
legal,4
proceso,5
real,5
ambiental,4
busca,5
privados,1
empresa,3
condiciones,0
valor,3
atencion,1
tecnologia,1
permisos,1
red,1
rol,4
otras,2
nuevas,1
promover,5
fiscales,2
tiempo,5
forma,3
instituciones,0
chileno,5
crear,4
cumplimiento,2
nuestra,3
nuevo,5
institucional,4
eficiente,4
tecnica,4
comunidades,0
mineria,4
integral,4
beneficios,2
mejorar,1
informacion,1
competencia,2
nacionales,0
internacional,4
mismo,3
tanto,2
sociales,0
quienes,0
objetivo,5
consejo,4
apoyo,1
proteccion,4
decisiones,2
menos,0
demanda,2
derechos,0
sea,3
cultural,5
pymes,0
bienestar,5
financiera,4
construccion,1
total,2
integracion,4
responsabilidad,2
regional,4
subsidios,0
inversiones,2
estructura,5
implementar,4
digitales,1
areas,2
ya,3
mundo,3
nos,3
comunidad,5
fortalecer,4
fondo,4
obras,4
ciudadana,4
familias,0
estan,0
programa,4
politico,5
sentido,5
tiempos,1
confianza,5
actividad,2
sistemas,1
bien,3
individual,2
tener,3
anual,5
mejora,2
n,4
capacitacion,1
privadas,0
situacion,3
cuando,3
clave,4
criterios,1
sido,3
poblacion,5
trabajadores,0
todas,0
garantizar,2
durante,5
generar,5
profesionales,1
planificacion,4
paises,0
defensa,4
burocracia,2
persona,3
activos,2
iniciativas,2
realidad,3
medida,3
permita,2
facilitar,2
sectores,0
p,2
pueden,0
fomento,4
emprendimiento,2
presupuesto,4
precios,2
decir,3
grandes,0
oportunidades,0
proyecto,5
segun,2
impuesto,2
personal,2
coordinacion,1
seran,2
competitividad,5
deben,0
riesgo,2
aumentar,2
zonas,1
accion,5
corte,2
bienes,2
dentro,2
casos,2
s,3
dos,3
eliminar,2
transparente,5
especialmente,0
aumento,5
viviendas,0
alto,1
tributaria,2
fin,2
transformacion,5
eliminacion,2
potencial,5
tarifas,2
oferta,2
tramites,1
cargo,5
empleo,5
enfoque,4
fortalecimiento,4
estrategia,4
siguientes,2
necesidades,0
us,2
lugar,5
mejor,0
general,5
caso,2
ejes,0
centros,1
juridica,2
permite,2
legales,2
central,5
podra,3
estandares,1
regiones,1
ante,3
principios,2
permitira,2
pilar,4
carga,2
tecnologias,1
santiago,2
efectiva,4
resultados,2
ciudadano,5
permitiendo,2
falta,3
costo,5
locales,1
cualquier,3
familia,3
comun,5
datos,1
propuestas,0
alta,1
certificacion,2
territorial,4
alianzas,1
b,1
fiscalizacion,1
economica,5
l,2
vez,3
cuentas,2
ingeniero,2
desarrollar,2
chilenos,0
futuro,5
pib,5
eje,5
d,1
auditoria,2
codelco,2
terrenos,1
modelos,2
frente,5
interes,5
aquellos,2
redes,1
orden,5
gran,5
cambio,5
civil,4
independiente,5
mayores,0
fomentar,4
reduciendo,2
uf,1
sean,0
tecnicos,1
ambientales,2
actuales,0
establecer,2
tramitacion,1
vision,5
chilena,5
suprema,2
probidad,2
pgu,2
unica,4
estrategica,4
financieros,2
expansion,2
estatales,2
simple,3
esenciales,2
historia,3
lograr,5
mujeres,0
ejemplo,2
promoviendo,2
funcion,4
tecnico,4
esfuerzo,3
resultado,3
estructural,5
tres,5
tipo,2
espera,1
relaciones,2
pensiones,4
regionales,1
fisica,4
independencia,5
sostenibilidad,5
problemas,0
formacion,1
u,2
cual,5
generacion,2
hombre,3
deuda,2
meta,5
ello,5
digitalizacion,4
productividad,4
operacion,2
actualmente,2
plazos,2
constitucional,2
metro,2
proposito,3
construir,3
acuerdo,5
asignacion,2
administrativa,2
banco,5
plantas,2
tecnologica,4
espacios,0
incluyendo,2
embargo,3
intereses,0
aprobacion,2
actividades,2
evitar,2
ingreso,2
tributario,5
entrega,2
plataformas,1
organismos,2
colaboracion,4
indicadores,1
diseno,4
ejecucion,1
local,4
permitir,2
pacientes,1
estandar,2
universal,4
centro,5
bolsa,2
intervencion,2
desafios,5
analisis,1
asegurando,1
conjunto,5
actores,2
propio,3
soluciones,0
principio,5
entorno,5
requiere,5
medio,5
anterior,3
incluso,2
plantea,5
habilidades,2
permitan,2
pequenas,0
financiero,4
debera,5
anuales,2
podria,2
experiencia,2
fundamental,5
hijos,0
compromiso,5
previsional,4
madres,0
deporte,4
contra,4
restricciones,2
urbano,2
urbana,2
mientras,0
basado,4
respecto,2
padres,0
aporte,5
productivo,5
baja,2
promedio,3
barreras,2
directamente,2
competitivo,2
usuarios,2
gobiernos,2
