term,cluster
de,3
la,4
y,2
en,3
el,4
que,0
a,5
para,1
los,5
con,3
las,5
un,4
del,4
se,3
por,3
es,0
una,4
como,3
chile,4
no,0
mas,0
al,3
su,4
desarrollo,2
lo,0
salud,2
o,3
nacional,2
pais,4
educacion,2
esta,0
todos,5
sin,0
estado,4
seguridad,2
e,1
nuestro,4
cada,0
sus,5
politica,4
desde,3
donde,0
personas,5
tambien,4
este,4
social,4
economia,4
sistema,2
deporte,2
vida,5
pero,0
publico,2
queremos,0
publica,2
nos,0
politicas,5
mejor,4
solo,0
chilenos,5
mayor,3
ya,0
gobierno,4
proyectos,1
quienes,5
ha,0
son,5
bien,0
ademas,1
mediante,1
apoyo,1
todas,5
entre,3
programa,2
ciudadania,4
esto,0
vivienda,5
ni,0
debe,4
ello,4
programas,1
equidad,4
innovacion,2
ser,0
mayores,5
infraestructura,1
familias,5
anos,5
etc,1
nuestra,4
sociales,5
fisica,2
ley,3
sera,4
uso,1
politico,4
todo,0
parte,4
apoyaremos,1
mejorar,2
centro,3
asi,3
ejemplo,3
manera,0
fortaleceremos,2
menos,0
prevencion,2
digital,2
nuestras,3
propuestas,5
proteccion,2
datos,1
control,2
gestion,1
hacia,4
proponemos,4
calidad,2
mujeres,5
trabajo,4
integral,2
actividad,2
servicio,2
tiempo,4
comunidad,4
bienestar,4
violencia,5
forma,3
cambio,4
instituciones,5
democracia,4
eso,0
generar,3
puedan,5
modo,4
mecanismos,1
territorial,2
locales,1
sino,0
participacion,2
especialmente,5
viviendas,5
mental,2
proyecto,4
recuperar,4
libertad,4
gran,4
nuevo,4
fortalecer,2
puede,0
poder,4
tecnologia,1
sostenible,4
soluciones,5
delincuencia,2
sobre,3
ministerio,2
impulsaremos,2
asimismo,3
recursos,5
incentivos,1
hoy,0
publicas,1
inversion,2
obesidad,3
agua,1
igualdad,4
uno,0
debemos,0
futuro,4
confianza,4
ciudadanos,5
si,0
problemas,5
empleo,4
construccion,1
reforma,2
justicia,4
crimen,2
organizado,2
contra,2
riesgo,3
publicos,1
deportivos,1
plan,2
adultos,5
sociedad,4
nuestros,5
sector,2
financiamiento,1
ese,0
ciudadana,2
campamentos,3
medio,4
ambiente,2
alma,4
ante,4
comun,4
partidos,3
importante,4
propone,2
corrupcion,3
prioridad,2
jovenes,5
traves,1
asegurar,3
comunidades,5
regiones,1
estos,0
necesario,0
cultural,4
economico,4
otras,3
primera,4
crearemos,2
zonas,1
empresas,5
iniciativas,3
