term,cluster
de,3
y,3
la,3
a,0
el,3
con,3
que,5
en,3
las,0
un,4
los,0
para,2
se,1
una,4
no,5
mas,5
del,3
lo,5
es,5
por,1
como,3
derechos,0
pais,5
salud,2
chile,5
sistema,4
impulsaremos,2
vida,0
justicia,3
nacional,4
acceso,2
fortaleceremos,2
familias,0
al,3
sino,5
desarrollo,4
vivir,5
barrios,0
ley,3
derecho,5
futuro,5
social,3
sin,1
publica,2
genero,3
seguro,5
hay,5
tambien,5
hacia,4
participacion,2
enfoque,3
justo,5
solo,5
personas,0
politica,4
seguridad,3
crearemos,2
esta,5
cada,5
todas,0
si,5
este,5
modelo,4
bienestar,3
servicios,2
publico,3
nuevo,4
universal,2
e,2
todos,0
dignidad,5
estado,3
miedo,5
nuestro,5
trabajadoras,0
trata,5
hemos,5
publicas,2
posible,5
pero,5
anos,0
condiciones,0
mujeres,0
programa,4
avanzar,5
ejes,0
dignos,1
empleo,3
territorial,4
economico,4
pacto,4
violencia,0
humanos,1
estatal,3
cuidados,4
educacion,2
gobierno,4
defender,5
sueldos,1
pensiones,3
aun,5
espera,2
transporte,2
falta,5
centro,3
salario,3
todo,5
esto,5
ha,5
concretas,0
construir,5
estos,0
cuando,5
mejor,5
desde,1
grandes,0
tres,5
plena,3
su,5
bien,5
fortalecimiento,3
infraestructura,2
territorios,3
proyecto,5
estrategia,4
red,2
atencion,2
recursos,0
laboral,3
fortaleciendo,3
modernizaremos,2
financiamiento,2
empresas,0
autonomia,3
garantizaremos,2
promoveremos,3
proteccion,2
corrupcion,3
rurales,2
plataforma,2
justa,1
recuperar,5
le,5
uno,5
hoy,5
muchas,5
horas,2
tiempo,5
porque,5
digna,0
necesario,5
viviendas,0
tiempos,2
politicas,0
minimo,1
reforma,4
entre,1
sabemos,5
derecha,1
mejores,1
chilenas,0
sea,5
sus,0
colectiva,3
trabajadores,0
diversidades,1
tener,5
necesidades,0
juntos,5
ciudadania,5
capacidad,3
economia,4
trabajo,3
o,1
escuelas,2
garantizar,3
espacios,2
seguros,2
ninos,0
ninas,0
transformacion,4
culturales,2
comunidades,0
inversion,2
reduccion,2
listas,2
empleos,3
ademas,2
formacion,2
prioridad,3
solidario,3
ampliaremos,2
mental,2
aumentaremos,2
niveles,0
rol,3
sectores,0
litio,3
cooperativas,3
plan,4
asegurando,2
aseguraremos,1
sexual,2
ciudadana,3
minutos,1
basicos,1
vivienda,2
priorizando,1
agua,2
sustentable,3
hasta,1
reformaremos,1
segura,1
prospera,1
compromiso,5
cambiar,5
nosotros,5
nuestras,0
vivan,1
prospero,5
donde,5
veces,5
eso,5
tengan,0
abusos,1
dia,5
promesas,5
urgentes,1
aumento,3
sido,5
medidas,0
son,0
decimos,1
fuerza,3
rapido,1
riqueza,5
cambios,5
logrado,5
quiere,5
retroceder,1
chilenos,0
busca,3
les,5
decidir,1
sobre,3
camino,5
pueblos,0
indigenas,1
realidad,5
sera,4
unidad,4
podremos,5
fuerte,5
administrar,1
transformar,5
mayorias,0
esperanza,5
nuestra,5
guiado,1
demanda,1
interna,1
articulacion,1
permite,1
desigualdad,5
va,5
ingresos,0
mediante,2
negociacion,1
democratica,3
mayor,1
consumo,2
crece,5
basta,5
verdes,2
deben,5
ser,5
base,3
participar,1
economica,4
politicos,1
sociales,0
presencia,2
prevencion,2
devolver,3
control,3
fortalecer,3
primaria,2
privado,3
crecimiento,4
salarios,1
requiere,4
materiales,1
democratico,4
ofrece,1
estructural,5
te,5
real,3
entrega,1
ruta,1
conectar,1
igualdad,5
justas,1
sector,3
vital,1
laborales,1
libres,0
efectiva,2
narcotrafico,3
cultura,3
permanente,3
contra,3
proteger,0
asegurar,3
proponemos,4
pilar,4
aps,2
apoyando,1
basado,3
tecnologia,2
cobre,3
energia,2
transicion,4
ecologica,1
apoyaremos,2
trayectorias,2
educativas,2
continuas,1
implementaremos,2
escolar,2
estudiantil,1
centros,2
calidad,2
mayores,0
marco,4
mecanismos,2
digno,5
gratuito,1
integral,4
ciudades,2
arriendo,1
protegido,1
vulnerables,0
desarrollaremos,3
profunda,4
expandiendo,1
acuerdo,3
adolescentes,1
reconoceremos,1
equidad,4
deporte,3
actividad,3
fisica,2
perdida,1
publicos,2
partidos,1
iniciativas,3
locales,2
supervision,1
garantizando,1
estrategicas,3
integrar,1
regiones,2
proyectos,2
victimas,3
permita,3
rural,3
protagonismo,1
programatica,1
nace,1
claro,5
importa,5
posibilidad,5
trate,1
sobrevivir,1
marcada,1
abuso,1
alcanzan,1
sistemas,2
insuficientes,1
parece,1
estar,5
lejos,1
trabajar,5
ver,5
familia,5
pagar,5
lograrlo,1
terminar,1
bajos,0
altos,1
poner,5
impulsado,1
necesarias,1
cero,3
corazon,5
pago,1
deuda,1
historica,1
nuestros,0
profesores,1
otras,1
gracias,1
voluntad,5
cosas,5
estas,0
ni,5
palabras,5
vacias,1
acciones,3
miles,0
claridad,5
suficiente,1
avanzado,1
mucho,5
sean,0
han,0
negado,1
tributaria,1
distribuir,1
tantos,1
otros,1
necesarios,1
llegado,5
momento,5
decisivo,1
tanto,3
esfuerzo,5
permiten,1
buenos,1
estudiantes,0
dificil,1
salir,5
adelante,0
puedan,0
pierdan,1
cuerpos,1
sigan,1
siendo,5
pobreza,5
tienen,5
vamos,5
permitir,1
frente,3
candidatura,1
representa,1
decision,1
pesar,1
menos,5
hacen,5
hablar,5
compartido,1
podemos,5
haya,5
implementen,1
soluciones,0
responda,1
aunque,1
produce,5
todavia,1
manera,5
injusta,1
convocatoria,1
hacemos,5
lucha,5
sumar,1
fuerzas,0
nos,5
volver,5
sonar,5
unidos,1
vuelto,1
ella,5
invitacion,5
caminar,1
juntas,1
creer,1
distinto,1
construido,1
propuesta,1
partido,4
propone,4
estructurado,1
fundamentales,0
representan,1
apuesta,1
reorganizar,1
prioridades,1
chileno,5
colocando,1
utilidades,1
unos,5
pocos,1
ellos,1
aborda,1
aspecto,1
esencial,5
vision,5
prosperidad,1
compartida,1
parte,5
premisa,1
sencilla,1
poderosa,1
implica,5
aumentar,3
sostenido,3
decisiones,1
economicas,0
remunerado,1
tiene,5
organizacion,3
construccion,2
comunidad,5
produccion,3
responde,1
cotidiana,5
vive,5
zonas,2
abandonadas,1
apostar,1
importar,1
entorno,1
adecuada,1
reconocer,5
existe,5
garantizados,1
instituciones,0
