term,cluster
de,0
y,0
la,4
el,4
para,0
en,0
a,2
que,1
los,2
con,0
las,2
se,0
un,1
una,1
del,4
mas,2
no,1
chile,1
al,4
es,1
como,4
por,1
estado,4
pais,1
i,5
desarrollo,3
seguridad,4
sus,2
sin,1
su,1
ii,5
e,3
sistema,3
nacional,3
personas,2
lo,1
apoyo,5
vida,2
educacion,5
familias,2
iii,5
mejor,1
salud,5
todos,2
o,0
ademas,0
mujeres,2
programas,5
propuestas,2
publico,4
ha,1
proyectos,5
crimen,4
nuestras,2
cada,1
nuestro,1
tambien,1
ley,3
esta,1
empleo,4
recursos,0
social,4
organizado,4
control,4
calidad,5
oportunidades,2
politica,3
mayor,0
entre,0
donde,1
mejorar,5
infraestructura,5
crearemos,3
b,5
c,3
chilenos,2
tecnologia,5
esto,1
crecimiento,4
plan,3
proteccion,5
acceso,5
uso,5
gobierno,4
jovenes,2
mayores,2
instituciones,2
ser,1
pero,1
impulsaremos,3
gestion,5
laboral,0
anos,2
quienes,2
desde,0
bienestar,4
d,5
economico,4
vivienda,2
publica,3
hoy,1
violencia,2
inversion,3
atencion,5
hacia,1
digital,3
fortaleceremos,5
todo,1
nuevos,5
orden,4
servicio,4
gasto,4
todas,2
publicos,5
capacidad,3
reducir,5
construccion,5
politicas,2
fortalecer,3
coordinacion,5
viviendas,2
inteligencia,3
compromiso,1
bien,1
grandes,2
solo,1
son,2
sea,1
este,1
espacios,2
proteger,4
servicios,5
ninos,2
trabajo,4
mediante,5
zonas,5
contra,4
enfrentar,4
cuidado,2
iv,0
crisis,1
dar,1
futuro,1
ni,1
tiempo,1
prevencion,5
construir,1
forma,1
regiones,5
clave,3
asegurando,5
justicia,4
crecer,1
foco,5
cambio,1
recuperar,1
si,1
nuevas,5
estrategia,3
confianza,4
herramientas,0
permisos,0
transporte,5
objetivo,1
prevenir,5
implementaremos,3
alianzas,5
financiamiento,5
defensa,4
climatico,4
hijos,2
problemas,2
sobre,0
queremos,1
sociales,2
sera,1
comunidades,2
traves,0
sector,4
regionales,5
empresas,2
innovacion,3
creara,3
programa,3
fuerza,4
empleos,0
territorial,3
sostenible,4
debe,1
han,2
nos,1
sociedad,1
riesgo,0
garantizar,0
alta,5
capacitacion,5
creacion,3
ministerio,3
informacion,5
tecnologias,5
centros,5
manera,1
necesidades,2
carceles,0
territorio,4
frente,4
rural,0
largo,1
cuando,1
vamos,1
ante,1
soluciones,2
corrupcion,4
cultura,1
necesita,1
requiere,4
escolar,5
base,4
derecho,1
institucionalidad,3
puedan,2
motor,4
real,4
especial,5
redes,5
seguimiento,5
sanciones,0
ambiental,3
desafios,4
formacion,5
participacion,5
locales,5
municipios,5
toda,1
fronteras,0
crear,3
nuestros,2
sectores,2
nuevo,4
ciudades,0
talentos,2
tres,1
porque,1
fin,0
parte,1
clara,1
centro,4
plazo,1
volver,1
policias,0
hidrica,3
puede,1
reales,2
merito,1
nuestra,1
integral,3
generar,1
adultos,2
especialmente,2
local,3
region,0
mental,5
cancer,5
pacientes,5
esfuerzo,1
recuperaremos,4
estrategicos,0
pueblos,2
tiempos,5
autonomia,4
estrategica,3
economia,4
decisiones,0
resultados,0
progreso,1
millones,2
sino,1
vez,1
comunidad,1
respeto,1
llegar,0
hay,1
civil,4
hasta,0
barrios,2
turismo,3
debemos,1
junto,0
impulsar,3
tramites,0
transparencia,0
rol,4
proceso,4
permitira,0
asi,0
amenazas,5
efectiva,3
internacionales,0
eficiente,3
evitar,0
incluyendo,0
accion,4
victimas,0
otros,0
asegurar,0
medidas,4
fomentar,3
promedio,1
eficiencia,3
regional,3
unica,3
responsable,3
ampliaremos,5
planes,0
escuelas,5
evelyn,0
miedo,1
delincuencia,4
ingreso,0
ciencia,5
reduccion,0
v,0
cooperacion,3
siempre,1
equipos,5
condiciones,2
naturales,0
humano,4
procesos,0
espera,5
personal,0
estos,2
tiene,1
eso,1
muchas,2
sido,1
modernizar,4
calles,2
tener,1
tengan,2
acompanar,0
unidad,3
tecnico,3
reforma,3
ya,1
gendarmeria,3
ministerios,5
aumentaremos,5
subsidios,0
formal,4
publicas,5
reduciremos,0
alerta,3
medicamentos,0
alto,0
privado,4
fortalecimiento,3
judicial,3
terrorismo,4
estableceremos,5
especializado,5
consumo,0
drogas,0
beneficios,0
barreras,0
plataforma,3
daremos,4
menos,2
emprendimiento,0
impacto,3
incentivos,5
acceder,0
licencias,0
red,5
impulsara,3
hogares,2
nueva,3
estudiantes,2
matthei,0
ilegal,4
contrabando,0
accesible,0
aprendizajes,0
cargo,1
mascotas,0
gran,1
etapas,2
adelante,2
estar,1
partidos,0
paz,4
sentido,1
dia,1
respuesta,0
resolver,1
implica,1
estabilidad,1
responsabilidad,0
avanzar,1
transformacion,1
prioridad,4
derechos,2
reforzaremos,5
espacio,1
permita,0
f,0
colaboracion,3
desastres,0
impulso,0
ffaa,0
reinsercion,5
carabineros,3
reconocimiento,0
criminales,0
vive,1
ano,1
contratacion,0
poblacion,1
habitacionales,0
ciudadana,4
mejores,0
estatal,3
tecnica,3
fiscal,1
s,1
presencia,3
capacidades,0
datos,5
internacional,3
terroristas,0
entregaremos,0
reglas,0
registro,3
busca,0
brechas,0
fiscalizacion,5
incorporando,0
riesgos,0
nacionales,2
promocion,0
enfrentan,2
intereses,2
tecnologica,3
meta,1
crearan,0
priorizando,0
cargos,0
capital,4
ingresos,2
mercado,4
potenciar,4
entrega,0
agua,5
acompanamiento,5
promovera,0
especialistas,5
distintas,2
cuidados,3
areas,0
cobertura,5
bases,3
familiar,0
pena,1
motores,0
basta,1
originarios,2
buena,0
mundo,1
dos,1
mismo,1
desafio,0
tecnicos,5
esperanza,1
lideres,0
proyeccion,0
efectivas,0
falta,1
tranquilidad,1
experiencia,0
proponemos,3
vision,1
condicion,1
delito,4
buscamos,1
libertad,1
certezas,0
seguro,1
estan,2
impunidad,1
democracia,4
bandas,0
cumplimiento,0
coordinara,0
fuerzas,2
armadas,4
aduanas,3
rapida,0
dotacion,0
instalaremos,0
burocracia,0
impuesto,0
contratos,0
permisologia,0
ventajas,0
mineria,3
moderna,3
energia,3
informalidad,1
eliminaremos,0
mal,0
sanitaria,3
otras,0
seguros,0
apoyaremos,0
probidad,0
vulnerables,2
principal,4
combatir,0
diseno,3
moderno,3
fortaleciendo,3
presupuesto,3
integrado,3
temprana,5
existentes,0
organizaciones,2
puerta,0
objetivos,0
modernizaremos,5
migrantes,0
irregulares,0
paises,2
tendremos,0
recuperacion,3
casos,0
mecanismos,5
implementacion,3
bajo,0
oportuna,0
tanto,0
fomentaremos,5
industria,3
laborales,0
metas,0
ocde,0
incentivar,5
cero,0
costos,0
eliminar,0
fortaleceran,0
credito,0
avanzaremos,0
trabajadores,2
formalizacion,0
llevaremos,0
modificaremos,0
aumentar,0
subsidio,0
produccion,4
implementara,3
basado,3
suelo,5
promover,4
digitales,5
comunas,0
hospitales,5
etapa,0
convivencia,0
modelo,3
mejoramiento,0
obras,5
parques,0
movilidad,1
deporte,0
cultural,1
gobiernos,0
