term,tf,sign
desarrollo,48,1
salud,45,1
educacion,34,1
seguridad,31,1
mejor,20,1
apoyo,18,1
vivienda,16,1
innovacion,15,1
trabajo,11,1
violencia,11,-1
bienestar,11,1
fortalecer,10,1
sostenible,10,1
delincuencia,10,-1
empleo,9,1
riesgo,9,-1
crimen,9,-1
justicia,9,1
corrupcion,8,-1
cuidado,7,1
crecimiento,7,1
delito,7,-1
problema,6,-1
sustentable,6,1
derechos,5,1
mejora,5,1
fortalecimiento,5,1
transparente,4,1
inclusion,4,1
desigualdad,4,-1
progreso,4,1
contaminacion,3,-1
deficit,3,-1
crisis,3,-1
exito,3,1
eficiente,3,1
digitalizacion,2,1
inflacion,2,-1
transparencia,2,1
deuda,2,-1
pobreza,1,-1
precariedad,1,-1
narcotrafico,1,-1
oportunidad,1,1
inseguridad,1,-1
beneficio,1,1
