term,tf,sign
desarrollo,55,1
seguridad,54,1
apoyo,41,1
educacion,38,1
mejor,35,1
salud,34,1
crimen,28,-1
empleo,26,1
crecimiento,22,1
bienestar,19,1
vivienda,19,1
violencia,18,-1
fortalecer,16,1
trabajo,15,1
crisis,14,-1
cuidado,14,1
justicia,13,1
innovacion,12,1
sostenible,11,1
riesgo,11,-1
corrupcion,10,-1
eficiente,8,1
transparencia,8,1
progreso,8,1
delincuencia,7,-1
fortalecimiento,7,1
derechos,6,1
delito,5,-1
digitalizacion,4,1
abandono,4,-1
contaminacion,4,-1
pobreza,4,-1
oportunidad,4,1
narcotrafico,3,-1
deficit,3,-1
inclusion,3,1
beneficio,2,1
problema,2,-1
ineficiencia,2,-1
transparente,2,1
eficaz,2,1
desigualdad,1,-1
conflicto,1,-1
deuda,1,-1
mejora,1,1
sustentable,1,1
