term,cluster
de,1
la,3
y,1
el,3
en,1
los,2
que,0
del,3
a,2
las,2
se,5
un,0
por,5
una,0
para,1
con,1
al,5
chile,0
pais,5
no,0
nacional,3
sistema,3
estado,3
es,0
o,1
su,0
gobierno,3
popular,3
como,1
produccion,3
sus,2
mas,5
proceso,3
patriotico,3
lo,0
empresas,2
e,1
sociedad,0
sera,3
grandes,2
desarrollo,3
ser,0
politica,3
trabajo,5
pueblos,2
debera,3
trabajadores,2
gran,3
derecho,5
planificacion,3
sin,0
nuevo,3
todos,2
sobre,1
son,2
industrializacion,3
parte,0
si,0
propiedad,3
economia,3
fuerzas,2
ha,0
sectores,2
etc,1
este,0
general,3
modo,5
mayor,1
debe,0
social,3
patria,0
asamblea,3
han,2
actual,3
salud,4
clase,2
forma,5
nacionales,2
paises,2
constituyente,0
energia,1
sociales,2
cada,0
economica,3
durante,5
acuerdo,3
organizacion,5
entre,1
explotacion,3
plan,3
nueva,3
otros,1
intereses,2
necesidades,2
tanto,5
primer,3
seran,1
manos,5
asi,5
poblacion,5
oro,5
especialmente,2
sector,3
pero,0
todo,0
estatal,1
quinquenal,3
tambien,5
hacia,5
trabajadora,2
vez,0
capacidad,1
empresa,0
construccion,4
militar,3
desde,5
capitalista,3
base,3
pensiones,1
educacion,4
esta,0
mayorias,2
politico,3
internacional,3
capital,5
ejemplo,1
campo,3
sea,0
interes,3
todas,2
refundacion,3
poder,3
privada,3
contra,3
crimen,3
manera,5
imperialistas,2
soberania,3
medida,0
toda,5
mismo,0
procesos,1
servicio,3
formas,1
otras,1
relaciones,1
estructura,3
tiempo,5
vida,2
libertad,0
decir,0
estos,2
hasta,5
central,3
tal,5
infraestructura,4
deberan,5
principio,5
dictadura,5
monopolios,2
control,3
industria,3
transporte,4
originarios,2
organizado,3
lucha,5
sino,0
consideramos,5
recursos,2
problemas,2
puede,0
posible,0
capacidades,1
creemos,5
hoy,0
economico,3
chilena,5
porque,0
armadas,2
ingresos,2
mientras,5
medidas,5
ello,5
lograr,3
constitucion,3
alimentaria,3
cabo,5
pueblo,5
embargo,0
extranjeros,2
industrial,3
extranjero,5
demas,2
actuales,2
economicos,2
marco,3
organizaciones,2
seguridad,3
mar,3
sean,2
tierra,5
mercado,3
nuestra,0
mayoria,5
unidad,3
conjunto,3
imperialismo,3
mundo,5
menos,5
aumento,5
gobiernos,1
pequenos,2
politicas,2
politicos,5
estan,2
asimismo,1
participacion,4
generacion,1
aquellas,2
salario,5
nuestro,0
estas,5
avanzar,0
materias,2
podra,0
esto,5
defensa,3
privado,3
podran,2
orden,3
sistemas,1
objetivos,1
garantizar,5
programa,3
traves,1
ademas,1
objetivo,3
cobre,3
burguesia,0
mediante,1
economicas,2
millones,2
ya,0
dinero,5
articulos,1
estar,0
pequeno,3
viviendas,2
independencia,3
condiciones,2
cambios,5
chileno,5
trabajador,5
aspiramos,5
ciudad,1
naciones,2
comunistas,5
deben,5
mujer,5
promovera,1
privadas,2
formacion,4
vivienda,4
solo,0
necesario,0
pequena,3
primas,2
tienen,2
riqueza,5
cualquier,0
altos,2
laboral,1
distribucion,1
necesidad,5
elaboracion,1
aquellos,5
cooperativas,2
caracter,0
socialismo,3
fuentes,2
imperialista,5
industriales,1
populares,2
solamente,5
oligarquia,5
medianos,1
asegurar,1
cuando,0
le,0
estatales,1
ecosistema,5
publico,4
desarrollar,1
mental,4
cambio,0
esencial,5
misma,0
areas,1
masas,2
principal,3
monopolicas,2
medios,2
reduccion,1
ante,0
anos,2
socialista,5
extranjeras,2
cultura,5
esencialmente,1
internacionales,1
siempre,5
cuanto,5
individual,1
democratico,3
acceso,4
directa,1
fondos,1
evaluara,1
valor,5
veces,0
real,5
emancipacion,1
tener,0
agricola,3
tales,1
estados,1
nivel,1
usd,2
propietarios,2
conciencia,5
reforma,3
quienes,2
importante,0
bajo,1
tiene,0
nuevas,1
calidad,4
hecho,0
mujeres,2
exterior,3
dos,5
energetica,3
cantidad,5
mediano,5
via,1
derechos,2
humano,3
caso,5
gradual,1
estudio,1
sociedades,1
naturaleza,5
ninos,2
hacer,0
camino,0
posibilidad,5
fase,3
privados,1
superior,4
inversion,4
lugar,5
productos,1
costos,1
capitalistas,1
personas,2
apoyo,4
ingreso,5
ano,5
aspectos,5
periodo,5
ni,0
puedan,2
legal,3
esten,1
proteccion,4
pueden,2
precios,1
les,5
presente,3
requiere,3
permanente,1
territorio,3
hogar,5
ella,5
ir,5
tendra,3
integracion,4
region,1
planes,1
punto,5
criterios,1
inflacion,5
ira,1
justicia,3
haber,5
cuenta,5
aunque,5
practicamente,5
principales,2
sido,0
naturales,1
momento,0
productiva,3
adquirir,5
productivas,1
solida,3
igual,5
aumentar,1
primera,5
fundamental,5
altamente,1
uno,5
actualmente,1
problema,5
cantidades,5
mixta,3
centro,5
llevar,5
instituciones,2
apoyar,5
pobreza,5
escala,1
funcion,1
integrar,1
propio,0
edad,1
secundaria,1
pymes,2
historia,0
luchas,5
muy,0
levantamiento,5
monopolista,5
materia,5
menor,1
bien,0
tecnologico,1
banco,3
ese,0
propia,5
bancos,1
impuestos,0
tipo,1
comerciantes,1
orientada,3
eso,0
niveles,2
unas,5
comerciante,1
oprimidos,1
explotados,1
responsabilidad,1
presos,5
violencia,2
apenas,5
unos,5
atencion,4
plenamente,1
siguientes,1
plena,5
productivo,3
posicion,5
dependencia,5
centros,4
bases,1
dominantes,5
basado,3
s,5
u,5
directamente,5
contribucion,5
teniendo,5
aun,0
anterior,0
estara,3
regiones,1
otra,0
respeto,5
futuro,5
postergados,1
llevara,5
organizados,1
humanidad,5
reaccion,5
nacionalizaciones,1
evaluacion,1
conocimiento,3
automatizacion,1
alto,1
agua,1
fuerza,3
grado,1
pasaran,5
venta,5
reservas,2
moneda,5
trabajar,0
refundadas,1
ninas,2
familia,0
dialecticos,1
delincuencia,3
tomar,5
destino,5
demostrado,0
nos,0
incluso,1
ellas,5
ido,5
pago,1
fondo,1
unidos,5
fue,5
resolver,5
fundamentales,5
esa,0
futura,5
otro,0
decadas,0
favor,5
campesino,1
necesarios,5
tributaria,5
estudiantes,2
junto,1
palabras,5
sentido,0
profundo,5
enormes,1
maximo,1
ley,1
necesarias,1
libre,5
integrante,1
encuentran,1
decididamente,1
fuerte,5
mediana,3
estudiar,1
particular,5
aquella,5
principalmente,5
agricolas,1
capitales,1
electrica,1
uso,1
mismos,5
conformaran,1
papel,5
estrategico,3
territorial,3
solidaridad,3
presidente,5
traspaso,1
antes,0
pobladores,1
basada,1
medio,3
discriminacion,1
fin,5
primordial,3
constituiran,1
precio,5
diferentes,1
decisiones,1
tendran,2
inteligencia,3
reducir,4
pueda,5
promover,3
velocidad,1
confrontar,1
segun,1
inmediata,1
desarrollara,1
inmediatamente,1
estructurales,5
proyecto,5
synco,1
sueldos,5
siendo,0
plurinacional,1
publica,4
ciudades,1
primaria,4
capitalizacion,1
crianza,1
aguas,1
perspectiva,5
mejor,4
capitalismo,5
riquezas,5
largo,5
mucho,0
importancia,5
prestamos,5
organismos,1
servicios,4
estructuralmente,1
inmediato,5
