term,cluster
de,0
y,4
la,2
en,2
el,2
a,4
que,1
con,0
para,4
del,2
los,4
se,1
por,1
un,2
las,4
no,1
una,2
como,2
o,0
al,2
propuesta,5
chile,1
ley,5
es,1
nacional,5
entre,0
mas,1
su,2
e,3
sin,1
estado,2
lo,1
ministerio,5
sistema,5
bajo,0
mediante,3
esta,1
publico,5
n,5
si,1
pais,1
uso,3
desde,0
evaluacion,3
anos,1
salud,3
millones,1
empresas,4
marco,5
seguridad,2
desarrollo,5
solo,1
inversion,5
este,2
educacion,4
inteligencia,5
financiamiento,3
publica,5
proyectos,3
sobre,2
sus,4
fondos,3
digital,5
cada,1
infraestructura,3
publicos,3
gestion,3
vamos,1
datos,3
implementacion,5
ya,1
parte,2
programas,3
universidades,3
ello,2
criterios,3
acceso,3
donde,1
fiscal,2
asi,2
programa,5
establecer,0
control,5
tecnica,5
cuando,1
modelo,5
plan,5
decreto,5
formacion,3
b,3
apoyo,3
innovacion,5
regionales,3
puede,1
hacia,2
social,2
impacto,5
servicios,3
c,5
personas,4
areas,4
tecnologia,3
publicas,3
internacionales,3
mayor,0
ha,1
capacidad,5
zonas,3
ser,1
ni,1
otros,0
eficiencia,5
riesgo,0
alta,3
segun,0
pero,1
politica,2
recursos,4
sistemas,3
servicio,2
son,4
cooperativas,4
creacion,5
estos,1
colaboracion,5
esto,1
crear,5
red,3
locales,3
agua,3
nuestro,1
d,3
participacion,4
informacion,3
carabineros,3
internacional,5
costos,0
estrategica,5
diseno,3
equipos,3
coordinacion,3
alto,3
han,1
suelos,0
pueden,1
calidad,4
instituciones,4
estatal,2
analisis,3
institucional,5
territorial,5
ejecucion,3
base,2
incentivos,3
alianzas,3
empleo,2
drones,3
otras,0
forma,2
valor,1
hoy,1
meses,0
tanto,2
operaciones,3
usd,1
costo,2
centros,3
privado,2
manejo,5
local,5
indap,0
trabajo,2
nivel,2
crimen,2
agricultura,0
ano,1
tecnico,5
incorporar,5
privados,3
especial,3
presupuesto,5
desempeno,0
mientras,1
proyecto,2
gasto,2
casos,0
menor,0
investigacion,5
atencion,3
i,3
iv,3
ambiental,5
dos,1
estrategicas,4
cual,2
debe,2
tecnologica,5
economia,2
mineria,5
reglamento,0
cobertura,3
modificacion,0
mercado,2
anuales,0
capacidades,3
actualmente,0
todos,4
hasta,0
busca,2
resultados,0
incluir,0
etc,3
profesionales,3
menos,1
ingreso,2
espera,3
especialmente,4
funcionarios,3
pdi,3
pequenos,0
riego,3
economica,2
tiene,1
deporte,4
vivienda,4
direccion,5
objetivo,2
fondo,5
regional,5
general,2
integracion,5
existen,0
proteccion,3
legal,5
trazabilidad,3
monitoreo,0
profesional,5
mecanismos,3
cambio,2
tipo,0
estrategicos,3
pacientes,3
produccion,2
p,0
hidrica,5
adopcion,0
agricola,2
cultivos,0
ninos,4
tambien,1
estrategico,5
organizado,2
bienes,0
propone,2
convenios,3
ademas,3
sea,1
permite,0
reforma,5
paises,0
tecnicos,3
procesos,0
pilotos,0
violencia,4
familia,1
capital,2
mujeres,4
politicas,4
priorizacion,0
fin,0
compra,3
bien,1
unidades,3
registro,5
personal,0
vida,4
unidad,5
ej,0
normativa,0
redes,3
acompanamiento,3
contratos,0
porque,1
foco,3
eje,2
emtp,3
ingresos,1
sag,0
sur,2
mejor,4
articulo,5
seguimiento,3
fortalecer,5
dentro,0
