term,cluster
de,2
la,1
y,5
el,1
que,3
en,2
a,4
los,4
las,4
para,5
del,1
un,0
con,2
se,2
una,0
no,3
por,2
al,1
chile,0
es,3
pais,0
mas,4
su,0
nuestro,0
estado,1
como,2
ha,3
personas,4
o,2
lo,3
sus,4
cada,3
esta,3
familias,4
gobierno,0
donde,3
seguridad,1
nuestra,0
e,5
social,0
salud,5
nos,3
desarrollo,1
nacional,1
publico,1
recuperar,0
entre,2
anos,4
vida,4
este,0
sin,3
todos,4
ser,3
fuerza,1
orden,1
sistema,1
chilenos,4
son,4
solo,3
libertad,0
trabajo,1
educacion,5
desde,2
tambien,0
han,4
nuestros,4
esto,3
hoy,3
ademas,5
impulsaremos,5
cambio,0
atencion,5
sociedad,0
crimen,1
inversion,5
asimismo,2
politica,0
emergencia,0
plan,5
vamos,3
todo,3
empleo,1
asi,2
nuestras,4
gasto,1
pero,3
mejor,0
esperanza,0
progreso,3
nuevas,5
acceso,5
servicio,1
frente,0
hijos,4
autoridad,0
medidas,2
organizado,1
esfuerzo,3
mos,2
cion,2
servicios,5
recursos,4
padres,4
ninos,4
escolar,5
g,5
promoveremos,2
pro,2
espera,5
futuro,0
construir,3
si,3
sino,3
mujeres,4
accion,0
economico,0
les,4
sentido,0
derecho,0
violencia,4
respeto,0
ello,0
infraestructura,5
red,5
formacion,5
crisis,0
millones,4
ni,3
enfrentar,1
compromiso,0
tiempo,0
hacia,0
cuando,3
implementaremos,5
problemas,4
queremos,3
poblacion,2
calidad,5
publicos,5
mejorar,5
mil,4
laboral,2
mayor,2
crecimiento,1
dad,2
realidad,3
pobreza,0
menos,4
hemos,3
primer,1
dia,4
listas,5
control,1
fuerzas,4
merito,0
hacer,3
publica,5
puedan,4
manera,3
porque,3
quienes,4
uso,5
programas,5
fortaleceremos,5
aumento,1
uno,3
apoyo,5
propia,0
durante,2
sea,3
sueno,0
tiene,3
trabajadores,4
dignidad,0
oportunidades,4
sera,0
ese,3
condiciones,4
sean,4
vivir,3
objetivo,0
tasa,2
actividad,2
ley,1
sector,1
gestion,5
digital,5
medio,1
emergencias,0
miles,4
estas,4
gran,0
programa,1
volver,3
mediocridad,3
jovenes,4
trabajar,3
forma,0
hay,3
puede,3
camino,3
ultimos,4
duele,4
debe,3
instituciones,4
traves,5
convivencia,2
decada,0
enfrenta,0
foco,5
capacidades,5
asegurar,2
tecnologia,5
estrategia,5
efectiva,5
mayores,4
media,2
central,1
parte,0
necesitamos,0
region,2
reducir,5
capacidad,2
proteccion,5
mediante,5
calles,4
economica,0
vivienda,5
falta,3
tienen,4
decision,2
meses,2
delincuencia,1
barrios,4
esfuerzos,2
historia,3
gente,3
seguro,0
justicia,0
casa,0
miedo,3
esa,3
confianza,0
mismo,3
posible,3
decadencia,3
toda,0
otros,2
colaboracion,5
cultura,0
