term,cluster
de,3
y,2
la,4
el,4
en,3
que,5
a,0
un,5
los,0
una,5
con,2
del,4
las,0
se,3
para,2
no,5
por,3
chile,5
es,5
como,4
programa,1
marco,1
presidencial,1
nacional,1
sin,3
pilar,1
mas,5
al,4
pais,5
sistema,1
lo,5
o,3
esta,5
desarrollo,1
inversion,2
entre,3
estado,4
su,4
crecimiento,4
anos,0
salud,2
economia,4
impuesto,3
sino,5
sector,4
region,3
actual,4
territorial,1
ello,4
agua,2
educacion,2
economico,4
seguridad,4
nuestro,5
requiere,4
bajo,3
solo,5
este,5
gobierno,4
garantizar,3
b,2
ambiental,1
proponemos,3
inteligencia,1
social,4
hacia,4
cada,5
nuestra,5
e,2
nueva,1
manera,5
desde,3
vez,5
plan,1
barrios,0
crisis,4
politica,4
empleo,4
ha,5
estrategicos,2
sus,0
millones,0
sera,4
verde,1
ni,5
c,1
propuesta,3
poblacion,3
universal,1
nuevo,4
publico,2
privado,4
nos,5
trata,5
reforma,1
publica,1
durante,5
campana,4
productivo,4
estructura,4
aumentar,3
personas,0
ministerio,1
medicamentos,3
ecosistemas,2
control,2
criminal,1
nuevos,2
pensiones,4
avanzar,5
pacto,4
mercado,4
equidad,4
medidas,0
industrial,4
alianza,4
necesita,5
estructural,5
anual,4
sectores,0
empleos,2
asi,3
modelo,3
empresas,0
transicion,1
recuperar,4
seran,3
eficiente,4
local,2
forma,3
ano,5
grandes,0
especialmente,0
zonas,2
proteccion,2
biodiversidad,3
previsional,3
si,5
economica,4
sociedad,5
estos,0
estrategicas,2
cuatro,3
anterior,5
clave,3
innovacion,1
promedio,5
desarrollar,3
cualquier,5
mineria,2
consumo,2
mientras,0
productividad,1
laboral,2
tasa,3
creacion,1
acceso,2
pension,3
valor,5
derechos,0
pero,5
gestion,2
esto,5
iva,3
agencia,1
sistemas,2
presencia,2
infraestructura,2
gobernanza,1
civil,4
ejes,0
uno,5
nacionales,0
capaz,4
dos,5
capitulo,1
recursos,0
permisos,2
financieros,3
alta,2
parte,4
financiero,2
tributaria,3
sociales,0
puede,5
extraccion,3
publicos,2
proyectos,2
crear,1
objetivo,4
agroindustria,2
azul,3
todos,0
territorios,0
uso,2
logica,3
comunitarios,2
ser,5
fortalecer,2
san,3
puerto,3
formacion,2
justo,5
hospital,3
lucro,3
bienestar,4
contar,3
construir,5
generacion,2
debe,5
cuales,3
cuyo,4
solidaridad,4
existe,5
pro,3
tanto,3
generar,3
sostenible,4
inicial,2
estable,3
materias,0
primas,0
servicios,2
bien,5
medida,5
agregado,3
ecologica,3
pilares,4
progresiva,3
tres,5
modernizar,4
bancoestado,3
permitira,3
tendra,1
productiva,4
embargo,5
productivos,2
rol,4
areas,2
estrategia,1
trabajo,4
sobre,3
fondos,2
humano,4
hidrica,1
tiene,5
cion,0
cuenta,3
jovenes,0
introducion,1
efectiva,2
coordinacion,2
cuentas,3
carabineros,2
comunitaria,3
mental,2
alto,2
sur,3
continua,2
atencion,2
base,4
liceos,2
intergeneracional,3
garantizada,3
orden,4
tambien,5
certeza,4
senda,4
internacionales,2
estas,0
mil,0
sion,3
nunca,5
estrategica,1
territorio,4
necesaria,3
sea,5
administracion,3
logrado,5
actualidad,3
usd,0
mayor,3
son,0
genera,5
agenda,4
inversiones,3
prioritarios,2
oficina,1
ambientales,3
procesos,2
